raw_name,heuristic_display,corrected_display
닭튀김_볼케이노 치킨,볼케이노 치킨,볼케이노 치킨
닭튀김_불금 치킨,불금 치킨,불금 치킨
닭튀김_불짬뽕 치킨,불짬뽕 치킨,불짬뽕 치킨
닭튀김_불패 치킨,불패 치킨,불패 치킨
닭튀김_블랙시크릿 순살 치킨,블랙시크릿 순살 치킨,블랙시크릿 순살 치킨
닭튀김_블랙시크릿 순살 치킨 (S),블랙시크릿 순살 치킨 (S),블랙시크릿 순살 치킨 (S)
닭튀김_블랙시크릿 오리지날 치킨,블랙시크릿 오리지날 치킨,블랙시크릿 오리지날 치킨
닭튀김_블랙시크릿 콤보 치킨,블랙시크릿 콤보 치킨,블랙시크릿 콤보 치킨
닭튀김_블랙시크릿 콤보 치킨 (S),블랙시크릿 콤보 치킨 (S),블랙시크릿 콤보 치킨 (S)
당뇨케어밀_SD22_토마토치즈대구필렛세트,당뇨케어밀(토마토치즈대구필렛세트),당뇨케어밀(토마토치즈대구필렛세트)
당적약단밤_조각밤,조각밤당적약단밤,조각밤당적약단밤
당적약단밤_홀밤,홀밤당적약단밤,홀밤당적약단밤
당적조각밤_국산,국산당적조각밤,국산당적조각밤
당적홀밤_국산,국산당적홀밤,국산당적홀밤
더 쇼콜라_보틀케이크,보틀케이크,보틀케이크
더블업초코케이크_잇츠원,잇츠원더블업초코케이크,잇츠원더블업초코케이크
더블초코케이크_1호,더블초코케이크(1호),더블초코케이크(1호)
더블초코케이크_M9,더블초코케이크,더블초코케이크
덮밥_낙지,낙지덮밥,낙지덮밥
덮밥_닭고기,닭고기덮밥,닭고기덮밥
덮밥_돼지고기(제육),돼지고기(제육),제육덮밥
덮밥_불고기,불고기덮밥,불고기덮밥
덮밥_오징어,오징어덮밥,오징어덮밥
도넛_링도넛,링도넛,링도넛
도넛_찹쌀,찹쌀도넛,찹쌀도넛
돈골추출농축액-CMJ_2,돈골추출농축액-CMJ,돈골추출농축액-CMJ
돌로미아_250ML,돌로미아,돌로미아
돼지고기볶음_김치,김치돼지고기볶음,김치돼지고기볶음
돼지고기볶음_채소,채소돼지고기볶음,채소돼지고기볶음
된장국_감자,감자된장국,감자된장국
된장국_냉이,냉이된장국,냉이된장국
된장국_미역,미역된장국,미역된장국
된장국_배추,배추된장국,배추된장국
된장국_시금치,시금치된장국,시금치된장국
된장국_시래기,시래기된장국,시래기된장국
된장국_쑥,쑥된장국,쑥된장국
된장국_아욱,아욱된장국,아욱된장국
